# 审计/合规领域自定义词典 — 每行格式：词语 词频(可选) 词性(可选)
# 词频越高，jieba 越倾向于将该词作为整体切分
# 词性使用 jieba 标准标记：n(名词)、v(动词)、vn(名动词) 等

# ===== 审计核心术语 =====
内部审计 1000 n
外部审计 1000 n
独立审计 1000 n
国家审计 1000 n
社会审计 1000 n
政府审计 1000 n
绩效审计 1000 n
合规审计 1000 n
财务审计 1000 n
经济责任审计 1000 n
离任审计 1000 n
专项审计 1000 n
跟踪审计 1000 n
竣工决算审计 1000 n
信息系统审计 1000 n

# ===== 审计程序与方法 =====
控制测试 1000 n
实质性程序 1000 n
实质性测试 1000 n
细节测试 1000 n
分析程序 1000 n
风险评估程序 1000 n
穿行测试 1000 n
重新计算 1000 v
重新执行 1000 v
函证 1000 v
监盘 1000 v
观察法 1000 n
询问法 1000 n
检查法 1000 n
抽样审计 1000 n
统计抽样 1000 n
非统计抽样 1000 n

# ===== 内部控制 =====
内部控制 1000 n
控制环境 1000 n
风险评估 1000 n
控制活动 1000 n
信息与沟通 1000 n
内部监督 1000 n
不相容职务 1000 n
职责分离 1000 n
授权审批 1000 n
会计系统控制 1000 n
财产保护控制 1000 n
预算控制 1000 n
运营分析控制 1000 n
绩效考评控制 1000 n

# ===== 风险管理 =====
风险管理 1000 n
风险识别 1000 n
风险分析 1000 n
风险评价 1000 n
风险应对 1000 n
固有风险 1000 n
控制风险 1000 n
检查风险 1000 n
重大错报风险 1000 n
特别风险 1000 n
舞弊风险 1000 n

# ===== 审计证据与底稿 =====
审计证据 1000 n
审计底稿 1000 n
审计工作底稿 1000 n
审计档案 1000 n
审计报告 1000 n
审计意见 1000 n
无保留意见 1000 n
保留意见 1000 n
否定意见 1000 n
无法表示意见 1000 n
审计调整 1000 n
审计差异 1000 n

# ===== 会计准则与法规 =====
企业会计准则 1000 n
基本准则 1000 n
具体准则 1000 n
应用指南 1000 n
解释公告 1000 n
会计政策 1000 n
会计估计 1000 n
前期差错 1000 n
资产负债表 1000 n
利润表 1000 n
现金流量表 1000 n
所有者权益变动表 1000 n
财务报表附注 1000 n

# ===== 合规与治理 =====
公司治理 1000 n
合规管理 1000 n
合规风险 1000 n
反舞弊 1000 n
反腐败 1000 n
反洗钱 1000 n
利益冲突 1000 n
商业贿赂 1000 n
关联交易 1000 n
信息披露 1000 n

# ===== 信息技术审计 =====
信息系统 1000 n
数据审计 1000 n
日志审计 1000 n
访问控制 1000 n
权限管理 1000 n
数据备份 1000 n
灾难恢复 1000 n
网络安全 1000 n
